User_ID,IP,Latitude,Longitude,PostCode,City,State,Country
1,1.120.0.1,-30.5083,151.6712,2350,Armidale,NSW,AU
2,1.120.2.1,-37.8833,145.3333,3786,Ferny Creek,VIC,AU
3,1.120.8.1,-32.243,148.6048,2830,Dubbo,NSW,AU
4,1.120.32.1,-37.8141,144.963,,Melbourne,VIC,AU
5,1.120.96.1,-27.4891,153.0188,4101,Brisbane,QLD,AU
6,1.120.97.1,-27.4482,153.0134,4059,Brisbane,QLD,AU
7,1.120.98.1,-27.4935,153.0763,4152,Camp Hill,QLD,AU
8,1.120.99.1,-27.5975,152.7475,4305,Brassall,QLD,AU
9,1.120.100.1,-27.5202,153.0278,4102,Brisbane,QLD,AU
10,1.120.101.1,-26.8067,152.961,4550,Mount Mellum,QLD,AU
11,1.120.102.1,-27.5976,153.077,4113,Runcorn,QLD,AU
12,1.120.103.1,-27.8833,153.3,4209,Upper Coomera,QLD,AU
13,1.120.105.1,-27.6498,153.1775,4128,Shailer Park,QLD,AU
14,1.120.106.1,-26.5283,153.0881,4573,Coolum Beach,QLD,AU
15,1.120.107.1,-27.4732,153.0215,4000,Brisbane,QLD,AU
16,1.120.108.1,-27.1088,152.9491,4506,Morayfield,QLD,AU
17,1.120.110.1,-27.4932,153.0583,4151,Coorparoo,QLD,AU
18,1.120.111.1,-27.5575,153.2648,4164,Thornlands,QLD,AU
19,1.120.112.1,-31.0905,150.929,2340,Tamworth,NSW,AU
20,1.120.113.1,-32.892,151.7053,2308,Callaghan,NSW,AU
21,1.120.114.1,-32.907,151.6053,2285,Cameron Park,NSW,AU
22,1.120.128.1,-27.4104,153.0111,4053,Stafford,QLD,AU
23,1.120.129.1,-27.4155,152.9766,4053,Brisbane,QLD,AU
24,1.120.130.1,-27.7,153.2,4129,Loganholme,QLD,AU
25,1.120.131.1,-27.8833,153.1333,4270,Tamborine Mountain,QLD,AU
26,1.120.133.1,-27.4432,153.0302,4006,Brisbane,QLD,AU
27,1.120.136.1,-27.6833,153.25,4130,Carbrook,QLD,AU
28,1.120.138.1,-28.0833,153.3667,4213,Upper Mudgeeraba,QLD,AU
